,emotion,sentence,label,tokenized_sentence,cleaned_tokens
1090,E68,가족들 덕분에 가지고 있는 돈으로 마음에 쏙 드는 집을 얻어서 기쁘다.,1,"['가족들', '덕분에', '가지고', '있는', '돈으로', '마음에', '쏙', '드는', '집을', '얻어', '##서', '기쁘', '##다', '.']","['가족들', '덕분에', '가지고', '있는', '돈으로', '마음에', '쏙', '드는', '집을', '얻어', '기쁘']"
1101,E63,드디어 취업에 성공해서 마음이 가벼워!,1,"['드디어', '취업', '##에', '성공', '##해서', '마음이', '가벼워', '!']","['드디어', '취업', '성공', '마음이', '가벼워']"
1102,E63,사장님이 자유분방한 분이라 사무실 분위기가 아주 편해.,1,"['사장님이', '자유', '##분', '##방한', '분이', '##라', '사무실', '분위기가', '아주', '편해', '.']","['사장님이', '자유', '분이', '사무실', '분위기가', '아주', '편해']"
1103,E63,팀장님이 출근 첫날 먼저 친근하게 대해주셔서 편했어.,1,"['팀', '##장님이', '출근', '첫날', '먼저', '친근', '##하게', '대해', '##주셔서', '편', '##했어', '.']","['팀', '출근', '첫날', '먼저', '친근', '대해', '편']"
1104,E63,출근 첫날 선배가 자기를 너무 어렵게 생각하지 않아도 된다고 말해 줬어.,1,"['출근', '첫날', '선배', '##가', '자기를', '너무', '어렵게', '생각하지', '않아도', '된다고', '말해', '줬', '##어', '.']","['출근', '첫날', '선배', '자기를', '너무', '어렵게', '생각하지', '않아도', '된다고', '말해', '줬']"
1105,E63,우리 회사는 할당된 업무만 제 시간에 마치면 출퇴근이 자유로워서 편해.,1,"['우리', '회사는', '할', '##당', '##된', '업무', '##만', '제', '시간에', '마치', '##면', '출퇴근', '##이', '자유로', '##워서', '편해', '.']","['우리', '회사는', '할', '업무', '제', '시간에', '마치', '출퇴근', '자유로', '편해']"
1106,E63,이직한 직장의 자유로운 분위기가 맘에 들어.,1,"['이', '##직한', '직장', '##의', '자유로운', '분위기가', '맘에', '들어', '.']","['이', '직장', '자유로운', '분위기가', '맘에', '들어']"
1107,E61,부모님의 지원으로 졸업 후에도 여유롭게 공부하면서 하고 싶은 일을 찾아서 감사해.,1,"['부모님', '##의', '지원', '##으로', '졸업', '후에도', '여유롭게', '공부', '##하면서', '하고', '싶은', '일을', '찾아서', '감사', '##해', '.']","['부모님', '지원', '졸업', '후에도', '여유롭게', '공부', '하고', '싶은', '일을', '찾아서', '감사']"
1108,E63,미리 일해 놓은 덕분에 마감 시간에 쫓기지 않고 일을 마무리했어.,1,"['미리', '일', '##해', '놓은', '덕분에', '마감', '시간에', '쫓', '##기지', '않고', '일을', '마무리', '##했어', '.']","['미리', '일', '놓은', '덕분에', '마감', '시간에', '쫓', '않고', '일을', '마무리']"
1109,E63,손발이 잘 맞는 팀원들과 일을 하게 되어서 기뻐.,1,"['손', '##발이', '잘', '맞는', '팀', '##원', '##들과', '일을', '하게', '되어서', '기뻐', '.']","['손', '잘', '맞는', '팀', '일을', '하게', '되어서', '기뻐']"
1110,E63,연차를 쓸 때 눈치 보지 않아도 되는 분위기라 좋아.,1,"['연', '##차를', '쓸', '때', '눈치', '보지', '않아도', '되는', '분위기', '##라', '좋아', '.']","['연', '쓸', '때', '눈치', '보지', '않아도', '되는', '분위기', '좋아']"
1111,E63,우리 회사는 수평적인 관계를 지향해서 편안해.,1,"['우리', '회사는', '수평', '##적인', '관계를', '지향', '##해서', '편안', '##해', '.']","['우리', '회사는', '수평', '관계를', '지향', '편안']"
1112,E63,내가 실수해도 나를 도와줄 사수가 옆에 있어서 든든해.,1,"['내가', '실수', '##해도', '나를', '도와줄', '사', '##수가', '옆에', '있어서', '든든', '##해', '.']","['내가', '실수', '나를', '도와줄', '사', '옆에', '있어서', '든든']"
1293,E62,내 주거래 은행의 자산관리사가 내 재정을 잘 관리해 줘서 믿음이 가.,1,"['내', '주거', '##래', '은행', '##의', '자산', '##관리', '##사가', '내', '재정', '##을', '잘', '관리해', '줘서', '믿음이', '가', '.']","['내', '주거', '은행', '자산', '내', '재정', '잘', '관리해', '줘서', '믿음이', '가']"
1294,E62,내 새로운 사업에 친구가 큰 도움이 될 것 같아서 든든해.,1,"['내', '새로운', '사업에', '친구가', '큰', '도움이', '될', '것', '같아서', '든든', '##해', '.']","['내', '새로운', '사업에', '친구가', '큰', '도움이', '될', '것', '같아서', '든든']"
1295,E62,자식들이 다 잘 되고 있어서 노후 걱정이 없어.,1,"['자식', '##들이', '다', '잘', '되고', '있어서', '노후', '걱정이', '없어', '.']","['자식', '다', '잘', '되고', '있어서', '노후', '걱정이', '없어']"
1296,E62,친구의 사업이 앞으로 크게 성장할 것 같아서 내 투자에 확신이 들어.,1,"['친구의', '사업이', '앞으로', '크게', '성장할', '것', '같아서', '내', '투자', '##에', '확신', '##이', '들어', '.']","['친구의', '사업이', '앞으로', '크게', '성장할', '것', '같아서', '내', '투자', '확신', '들어']"
1297,E62,공인중개사가 조만간 내게 수익이 많이 날 토지를 중개해줄 거야.,1,"['공인', '##중', '##개', '##사가', '조만간', '내게', '수익', '##이', '많이', '날', '토지', '##를', '중개', '##해줄', '거야', '.']","['공인', '조만간', '내게', '수익', '많이', '날', '토지', '중개', '거야']"
1298,E62,새로운 예금 상품은 평균보다 이자가 두 배나 높아서 수익이 좋을 것 같아.,1,"['새로운', '예금', '상품은', '평균', '##보다', '이자', '##가', '두', '배', '##나', '높아서', '수익', '##이', '좋을', '것', '같아', '.']","['새로운', '예금', '상품은', '평균', '이자', '두', '배', '높아서', '수익', '좋을', '것', '같아']"
1299,E68,내가 좋아하는 친구가 나를 알아봐서 정말 기분이 좋았어.,1,"['내가', '좋아하는', '친구가', '나를', '알아', '##봐서', '정말', '기분이', '좋았', '##어', '.']","['내가', '좋아하는', '친구가', '나를', '알아', '정말', '기분이', '좋았']"
1309,E69,아내는 바람을 안 피울 거야. 내 아내는 항상 나만 바라봐,1,"['아내는', '바람을', '안', '피', '##울', '거야', '.', '내', '아내는', '항상', '나만', '바라', '##봐']","['아내는', '바람을', '안', '피', '거야', '내', '아내는', '항상', '나만', '바라']"
1310,E69,내 아내는 정말 정직한 사람인 것 같아.,1,"['내', '아내는', '정말', '정직한', '사람', '##인', '것', '같아', '.']","['내', '아내는', '정말', '정직한', '사람', '것', '같아']"
1312,E69,나는 아들보다 딸이 더 좋을 것 같아.,1,"['나는', '아들', '##보다', '딸이', '더', '좋을', '것', '같아', '.']","['나는', '아들', '딸이', '더', '좋을', '것', '같아']"
1313,E69,나는 내 아이들이 희망을 가질 수 있게 해 주는 부모가 될 거야.,1,"['나는', '내', '아이들이', '희망을', '가질', '수', '있게', '해', '주는', '부모가', '될', '거야', '.']","['나는', '내', '아이들이', '희망을', '가질', '수', '있게', '해', '주는', '부모가', '될', '거야']"
1316,E66,목 디스크로 통증이 지속되어 병원을 찾았는데 경험 많은 전문 의사에게 치료를 받게 되어서 다행이야.,1,"['목', '디스크', '##로', '통증이', '지속', '##되어', '병원을', '찾', '##았는데', '경험', '많은', '전문', '의사', '##에게', '치료를', '받게', '되어서', '다행이', '##야', '.']","['목', '디스크', '통증이', '지속', '병원을', '찾', '경험', '많은', '전문', '의사', '치료를', '받게', '되어서', '다행이']"
1317,E66,건강검진을 했는데 아무 이상이 없다고 해서 마음이 편안해.,1,"['건강', '##검진', '##을', '했는데', '아무', '이상이', '없다고', '해서', '마음이', '편안', '##해', '.']","['건강', '했는데', '아무', '이상이', '없다고', '해서', '마음이', '편안']"
1318,E66,젊어서부터 건강식품을 꾸준히 챙겨 먹었더니 건강에는 자신 있어.,1,"['젊', '##어서', '##부터', '건강식품', '##을', '꾸준히', '챙겨', '먹었더니', '건강에', '##는', '자신', '있어', '.']","['젊', '건강식품', '꾸준히', '챙겨', '먹었더니', '건강에', '자신', '있어']"
1337,E64,애교 많은 우리 딸과 유쾌한 우리 아들을 생각하면 매우 행복하단 말이야.,1,"['애교', '많은', '우리', '딸', '##과', '유', '##쾌한', '우리', '아들을', '생각하면', '매우', '행복', '##하단', '말이야', '.']","['애교', '많은', '우리', '딸', '유', '우리', '아들을', '생각하면', '매우', '행복', '말이야']"
1338,E64,엊그제 모임에 다녀왔는데 다들 우리 부부를 보면서 서로 닮았다고 했어.,1,"['엊그제', '모임', '##에', '다녀왔', '##는데', '다들', '우리', '부부', '##를', '보면서', '서로', '닮', '##았다고', '했어', '.']","['엊그제', '모임', '다녀왔', '다들', '우리', '부부', '보면서', '서로', '닮', '했어']"
1339,E64,나는 탈모 때문에 스트레스였는데 아내가 걱정 말라고 위로해 줘서 기분이 좋아졌어.,1,"['나는', '탈모', '때문에', '스트레스', '##였는데', '아내가', '걱정', '말라고', '위로', '##해', '줘서', '기분이', '좋아졌', '##어', '.']","['나는', '탈모', '때문에', '스트레스', '아내가', '걱정', '말라고', '위로', '줘서', '기분이', '좋아졌']"
1340,E64,남다른 아내의 음식 솜씨 덕분에 늘 친구들이 부러워하는 걸 보면 참 기분이 좋단 말이야.,1,"['남다른', '아내의', '음식', '솜씨', '덕분에', '늘', '친구들이', '부러워', '##하는', '걸', '보면', '참', '기분이', '좋', '##단', '말이야', '.']","['남다른', '아내의', '음식', '솜씨', '덕분에', '늘', '친구들이', '부러워', '걸', '보면', '참', '기분이', '좋', '말이야']"
1341,E64,우리 둘 다 등산을 좋아해서 주말마다 아내랑 산에 다니는 것이 너무 만족스러워.,1,"['우리', '둘', '다', '등산', '##을', '좋아해서', '주말', '##마다', '아내', '##랑', '산에', '다니는', '것이', '너무', '만족스러', '##워', '.']","['우리', '둘', '다', '등산', '좋아해서', '주말', '아내', '산에', '다니는', '것이', '너무', '만족스러']"
1342,E64,요즘 수험생 아들이 평온하고 성실하게 공부하고 있어서 기특할 따름이야.,1,"['요즘', '수험생', '아들이', '평온', '##하고', '성실', '##하게', '공부하고', '있어서', '기특', '##할', '따름', '##이야', '.']","['요즘', '수험생', '아들이', '평온', '성실', '공부하고', '있어서', '기특', '따름']"
1343,E64,우리 딸이 어제 학교에서 담임선생님께 세상에서 가장 좋은 아빠라고 자랑했다네. 참 기특할 따름이야.,1,"['우리', '딸이', '어제', '학교에서', '담임', '##선생님', '##께', '세상에서', '가장', '좋은', '아빠', '##라고', '자랑', '##했다', '##네', '.', '참', '기특', '##할', '따름', '##이야', '.']","['우리', '딸이', '어제', '학교에서', '담임', '세상에서', '가장', '좋은', '아빠', '자랑', '참', '기특', '따름']"
1344,E64,지병이나 별다른 사고 없이 이렇게 무탈하게 커 준 자식들에게 감사할 따름이야.,1,"['지', '##병이', '##나', '별다른', '사고', '없이', '이렇게', '무', '##탈', '##하게', '커', '준', '자식', '##들에게', '감사', '##할', '따름', '##이야', '.']","['지', '별다른', '사고', '없이', '이렇게', '무', '커', '준', '자식', '감사', '따름']"
1345,E64,나와 아내는 결혼한 지 이십 년이 넘었는데 금전적인 문제가 하나도 없었던 게 참 신기해.,1,"['나와', '아내는', '결혼', '##한', '지', '이십', '년', '##이', '넘', '##었는데', '금전', '##적인', '문제가', '하나도', '없었던', '게', '참', '신기해', '.']","['나와', '아내는', '결혼', '지', '이십', '년', '넘', '금전', '문제가', '하나도', '없었던', '게', '참', '신기해']"
1346,E64,집안일을 이렇게 완벽하게 해놓는 아내가 진정 존경스러워.,1,"['집안', '##일을', '이렇게', '완벽하게', '해놓', '##는', '아내가', '진정', '존경', '##스러워', '.']","['집안', '이렇게', '완벽하게', '해놓', '아내가', '진정', '존경']"
1347,E64,저녁을 먹은 후 이렇게 거실에서 텔레비전을 보면서 가족들과 대화할 수 있다는 것이 참 행복해.,1,"['저녁을', '먹은', '후', '이렇게', '거실에서', '텔레비전', '##을', '보면서', '가족들과', '대화', '##할', '수', '있다는', '것이', '참', '행복해', '.']","['저녁을', '먹은', '후', '이렇게', '거실에서', '텔레비전', '보면서', '가족들과', '대화', '수', '있다는', '것이', '참', '행복해']"
1393,E61,아내는 내가 매일 회식 때문에 늦어도 그걸 이해해 줬어.,1,"['아내는', '내가', '매일', '회식', '때문에', '늦', '##어도', '그걸', '이해', '##해', '줬', '##어', '.']","['아내는', '내가', '매일', '회식', '때문에', '늦', '그걸', '이해', '줬']"
1394,E61,이혼하고 나서 혼자라 외로웠는데 이제 함께할 사람이 생겨서 다행이야.,1,"['이혼', '##하고', '나서', '혼자', '##라', '외로', '##웠는데', '이제', '함께', '##할', '사람이', '생겨서', '다행이', '##야', '.']","['이혼', '나서', '혼자', '외로', '이제', '함께', '사람이', '생겨서', '다행이']"
1395,E61,나나 아내나 나이가 있어 태어날 아이를 걱정했지만 건강해.,1,"['나나', '아내', '##나', '나이가', '있어', '태어날', '아이를', '걱정', '##했지만', '건강', '##해', '.']","['나나', '아내', '나이가', '있어', '태어날', '아이를', '걱정', '건강']"
1396,E61,천만다행이야. 아내가 탄 버스가 사고 났는데 아내는 다친 곳 없이 무사해.,1,"['천', '##만', '##다행', '##이야', '.', '아내가', '탄', '버스', '##가', '사고', '났', '##는데', '아내는', '다', '##친', '곳', '없이', '무사', '##해', '.']","['천', '아내가', '탄', '버스', '사고', '났', '아내는', '다', '곳', '없이', '무사']"
1397,E61,딸이 내가 아니라 아내를 닮아서 감사해. 외모 걱정은 안 해도 될 것 같아.,1,"['딸이', '내가', '아니라', '아내를', '닮', '##아서', '감사', '##해', '.', '외모', '걱정은', '안', '해도', '될', '것', '같아', '.']","['딸이', '내가', '아니라', '아내를', '닮', '감사', '외모', '걱정은', '안', '해도', '될', '것', '같아']"
1398,E61,자식들은 고혈압이 없어서 다행이야. 내가 고혈압이 있어서 걱정했는데 말이야.,1,"['자식', '##들은', '고혈압', '##이', '없어서', '다행이', '##야', '.', '내가', '고혈압', '##이', '있어서', '걱정했는데', '말이야', '.']","['자식', '고혈압', '없어서', '다행이', '내가', '고혈압', '있어서', '걱정했는데', '말이야']"
1399,E61,생일이라고 아내가 깜짝 선물을 줘서 너무 고맙더라고.,1,"['생일', '##이라고', '아내가', '깜짝', '선물을', '줘서', '너무', '고맙', '##더라고', '.']","['생일', '아내가', '깜짝', '선물을', '줘서', '너무', '고맙']"
1400,E61,우리 가족은 심성부터가 착해. 서로를 배려하고 안 좋은 말 안 하니 정말 감사해.,1,"['우리', '가족은', '심', '##성', '##부터가', '착', '##해', '.', '서로를', '배려', '##하고', '안', '좋은', '말', '안', '하니', '정말', '감사', '##해', '.']","['우리', '가족은', '심', '착', '서로를', '배려', '안', '좋은', '말', '안', '하니', '정말', '감사']"
1401,E61,아들이 명문대에 합격해서 고마워. 그동안 일하느라 아들에게 신경을 못 써준 게 참 그래.,1,"['아들이', '명문', '##대에', '합격', '##해서', '고마워', '.', '그동안', '일', '##하느라', '아들', '##에게', '신경을', '못', '써', '##준', '게', '참', '그래', '.']","['아들이', '명문', '합격', '고마워', '그동안', '일', '아들', '신경을', '못', '써', '게', '참', '그래']"
1409,E64,아내의 대장암이 완치된 후에 자식들이 안부 문자를 자주 보내줘.,1,"['아내의', '대장', '##암', '##이', '완', '##치', '##된', '후에', '자식', '##들이', '안', '##부', '문자를', '자주', '보내', '##줘', '.']","['아내의', '대장', '완', '후에', '자식', '안', '문자를', '자주', '보내']"
1410,E64,퇴원을 하니 집에 온 가족이 모여 있더라고. 정말 좋았어.,1,"['퇴', '##원을', '하니', '집에', '온', '가족이', '모여', '있', '##더라고', '.', '정말', '좋았', '##어', '.']","['퇴', '하니', '집에', '온', '가족이', '모여', '있', '정말', '좋았']"
1411,E64,내가 병이 있어서 아내한테 옮을까 걱정했는데 옮지는 않는다네.,1,"['내가', '병이', '있어서', '아내', '##한테', '옮', '##을까', '걱정했는데', '옮', '##지는', '않는다', '##네', '.']","['내가', '병이', '있어서', '아내', '옮', '걱정했는데', '옮', '않는다']"
1423,E69,이번 모의고사는 일 등급이 나올 것이 확실해.,1,"['이번', '모의', '##고사', '##는', '일', '등급', '##이', '나올', '것이', '확실', '##해', '.']","['이번', '모의', '일', '등급', '나올', '것이', '확실']"
1424,E64,내가 도와준 친구의 성적이 많이 올랐어.,1,"['내가', '도와', '##준', '친구의', '성적이', '많이', '올랐', '##어', '.']","['내가', '도와', '친구의', '성적이', '많이', '올랐']"
1425,E64,점수가 잘 나오지는 않았지만 열심히 노력한 내 모습에 만족해.,1,"['점수', '##가', '잘', '나오지', '##는', '않았지만', '열심히', '노력', '##한', '내', '모습에', '만족해', '.']","['점수', '잘', '나오지', '않았지만', '열심히', '노력', '내', '모습에', '만족해']"
1426,E64,이번 시험 결과에 대해 부모님이 칭찬해 주셔서 뿌듯해.,1,"['이번', '시험', '결과에', '대해', '부모님이', '칭찬', '##해', '주셔서', '뿌듯', '##해', '.']","['이번', '시험', '결과에', '대해', '부모님이', '칭찬', '주셔서', '뿌듯']"
1448,E65,우리 팀원들과 프로젝트를 진행했는데 평가가 엄청 좋게 나와서 기분이 너무 좋아.,1,"['우리', '팀', '##원', '##들과', '프로젝트를', '진행', '##했는데', '평가가', '엄청', '좋게', '나와서', '기분이', '너무', '좋아', '.']","['우리', '팀', '프로젝트를', '진행', '평가가', '엄청', '좋게', '나와서', '기분이', '너무', '좋아']"
1449,E65,오늘은 정말 기쁜 날이야. 날 여자라고 깔보던 상사를 내가 오늘 실적으로 이겼거든.,1,"['오늘은', '정말', '기쁜', '날이', '##야', '.', '날', '여자', '##라고', '깔', '##보던', '상', '##사를', '내가', '오늘', '실적', '##으로', '이', '##겼', '##거든', '.']","['오늘은', '정말', '기쁜', '날이', '날', '여자', '깔', '상', '내가', '오늘', '실적', '이']"
1450,E65,팀원들이 내가 여성 상사라고 은근 무시했는데 내가 이번 계약 건으로 코를 납작하게 해주었어.,1,"['팀', '##원들이', '내가', '여성', '상', '##사라', '##고', '은근', '무시', '##했는데', '내가', '이번', '계약', '건', '##으로', '코를', '납작', '##하게', '해주', '##었어', '.']","['팀', '내가', '여성', '상', '은근', '무시', '내가', '이번', '계약', '건', '코를', '납작', '해주']"
1451,E65,우리 회사에서 문서 작성하는 프로그램을 나만큼 잘하는 사람이 없는 것 같아서 은근 뿌듯해.,1,"['우리', '회사에서', '문서', '작성', '##하는', '프로그램을', '나만', '##큼', '잘하는', '사람이', '없는', '것', '같아서', '은근', '뿌듯', '##해', '.']","['우리', '회사에서', '문서', '작성', '프로그램을', '나만', '잘하는', '사람이', '없는', '것', '같아서', '은근', '뿌듯']"
1452,E65,내가 승진 명단에 추천한 사람이 승진이 되어서 너무 기뻤어.,1,"['내가', '승진', '명', '##단에', '추천', '##한', '사람이', '승진', '##이', '되어서', '너무', '기', '##뻤', '##어', '.']","['내가', '승진', '명', '추천', '사람이', '승진', '되어서', '너무', '기']"
1453,E65,저평가된 직원과 대화를 했는데 그 직원이 그 이후로 좋은 변화가 일어나서 정말 기뻐.,1,"['저', '##평가', '##된', '직원', '##과', '대화를', '했는데', '그', '직원이', '그', '이후로', '좋은', '변화가', '일어나서', '정말', '기뻐', '.']","['저', '직원', '대화를', '했는데', '그', '직원이', '그', '이후로', '좋은', '변화가', '일어나서', '정말', '기뻐']"
1454,E65,저번 인사 발령 때 내가 어떤 사람을 다른 부서로 보냈는데 누가 불만이 많았었다고 하네. 너무 미안해.,1,"['저번', '인사', '발', '##령', '때', '내가', '어떤', '사람을', '다른', '부서', '##로', '보냈', '##는데', '누가', '불만이', '많았', '##었다고', '하네', '.', '너무', '미안해', '.']","['저번', '인사', '발', '때', '내가', '어떤', '사람을', '다른', '부서', '보냈', '누가', '불만이', '많았', '하네', '너무', '미안해']"
1455,E65,전에 했던 업무는 스트레스가 너무 많았는데 그게 다른 부서로 이관되었어.,1,"['전에', '했던', '업무', '##는', '스트레스가', '너무', '많았는데', '그게', '다른', '부서', '##로', '이', '##관', '##되었', '##어', '.']","['전에', '했던', '업무', '스트레스가', '너무', '많았는데', '그게', '다른', '부서', '이']"
1456,E65,실적도 없이 고객 응대만 해야 하는 업무였는데 그 업무가 자동화로 바뀌었어.,1,"['실적', '##도', '없이', '고객', '응', '##대', '##만', '해야', '하는', '업무', '##였는데', '그', '업무', '##가', '자동', '##화로', '바뀌', '##었어', '.']","['실적', '없이', '고객', '응', '해야', '하는', '업무', '그', '업무', '자동', '바뀌']"
1457,E65,오늘 내가 업무 일부를 자동화로 해도 괜찮을 것 같다고 제안을 했는데 그게 받아들여졌어.,1,"['오늘', '내가', '업무', '일부를', '자동', '##화로', '해도', '괜찮을', '것', '같다고', '제안을', '했는데', '그게', '받아들여', '##졌', '##어', '.']","['오늘', '내가', '업무', '일부를', '자동', '해도', '괜찮을', '것', '같다고', '제안을', '했는데', '그게', '받아들여']"
1458,E67,이번에 본 면접에서 합격 통보를 받아서 너무 다행이야.,1,"['이번에', '본', '면접', '##에서', '합격', '통보', '##를', '받아서', '너무', '다행이', '##야', '.']","['이번에', '본', '면접', '합격', '통보', '받아서', '너무', '다행이']"
1459,E67,휴 이번 프로젝트도 성공적으로 마무리되었어.,1,"['휴', '이번', '프로젝트', '##도', '성공적으로', '마무리', '##되었', '##어', '.']","['휴', '이번', '프로젝트', '성공적으로', '마무리']"
1460,E67,날짜를 잘못 알아서 회사 지원공고 날짜를 놓칠 뻔했어.,1,"['날짜를', '잘못', '알아서', '회사', '지원', '##공', '##고', '날짜를', '놓칠', '뻔', '##했어', '.']","['날짜를', '잘못', '알아서', '회사', '지원', '날짜를', '놓칠', '뻔']"
1461,E67,내 친구보다 좋은 회사에서 오늘 합격 통보를 받아서 다행이야.,1,"['내', '친구', '##보다', '좋은', '회사에서', '오늘', '합격', '통보', '##를', '받아서', '다행이', '##야', '.']","['내', '친구', '좋은', '회사에서', '오늘', '합격', '통보', '받아서', '다행이']"
1465,E64,이번에 남편 생일이라 선물을 준비해서 줬어. 남편이 좋아하니 나도 기분이 좋아.,1,"['이번에', '남편', '생일', '##이라', '선물을', '준비해서', '줬', '##어', '.', '남편이', '좋아', '##하니', '나도', '기분이', '좋아', '.']","['이번에', '남편', '생일', '선물을', '준비해서', '줬', '남편이', '좋아', '나도', '기분이', '좋아']"
1466,E64,딸이 언제나 사랑한다고 해 줘서 너무 기뻐.,1,"['딸이', '언제나', '사랑', '##한다고', '해', '줘서', '너무', '기뻐', '.']","['딸이', '언제나', '사랑', '해', '줘서', '너무', '기뻐']"
1477,E61,오늘 친구들을 만나고 왔어. 다들 내 취업을 축하해주더라고.,1,"['오늘', '친구들을', '만나고', '왔', '##어', '.', '다들', '내', '취업', '##을', '축하', '##해주', '##더라고', '.']","['오늘', '친구들을', '만나고', '왔', '다들', '내', '취업', '축하']"
1478,E61,이번 계획한 프로젝트가 부장님께서 전폭적으로 지지해주셔서 성공적으로 끝났어.,1,"['이번', '계획', '##한', '프로젝트', '##가', '부장', '##님께서', '전', '##폭', '##적으로', '지지', '##해주셔서', '성공적으로', '끝났', '##어', '.']","['이번', '계획', '프로젝트', '부장', '전', '지지', '성공적으로', '끝났']"
1479,E61,팀 프로젝트가 정말 성공적으로 끝나서 기분이 정말 좋아.,1,"['팀', '프로젝트', '##가', '정말', '성공적으로', '끝나', '##서', '기분이', '정말', '좋아', '.']","['팀', '프로젝트', '정말', '성공적으로', '끝나', '기분이', '정말', '좋아']"
1480,E61,요즘 일에 너무 만족하고 있어. 고등학교 선생님이 아니었다면 불가능했을 거야.,1,"['요즘', '일에', '너무', '만족하고', '있어', '.', '고등학교', '선생님이', '아니었다', '##면', '불가능', '##했을', '거야', '.']","['요즘', '일에', '너무', '만족하고', '있어', '고등학교', '선생님이', '아니었다', '불가능', '거야']"
1481,E61,드디어 취업에 성공했어! 다 그 친구 덕분이야.,1,"['드디어', '취업', '##에', '성공', '##했어', '!', '다', '그', '친구', '덕분', '##이야', '.']","['드디어', '취업', '성공', '다', '그', '친구', '덕분']"
1482,E61,시험 준비를 시작했어. 부모님께 정말 감사드리고 있어.,1,"['시험', '준비를', '시작', '##했어', '.', '부모님께', '정말', '감사', '##드리고', '있어', '.']","['시험', '준비를', '시작', '부모님께', '정말', '감사', '있어']"
1483,E61,드디어 회사에 합격했어! 삼촌의 덕이 커.,1,"['드디어', '회사에', '합격', '##했어', '!', '삼촌', '##의', '덕', '##이', '커', '.']","['드디어', '회사에', '합격', '삼촌', '덕', '커']"
1484,E61,드디어 공무원시험에 합격했어! 다 인터넷 강의 선생님 덕분이야.,1,"['드디어', '공무원', '##시험', '##에', '합격', '##했어', '!', '다', '인터넷', '강의', '선생님', '덕분', '##이야', '.']","['드디어', '공무원', '합격', '다', '인터넷', '강의', '선생님', '덕분']"
1485,E61,좋은 기회가 생긴 것 같아. 다 상사님 덕분이야.,1,"['좋은', '기회가', '생긴', '것', '같아', '.', '다', '상', '##사', '##님', '덕분', '##이야', '.']","['좋은', '기회가', '생긴', '것', '같아', '다', '상', '덕분']"
1545,E66,운동하고 나면 온몸이 상쾌해지는 기분이야.,1,"['운동', '##하고', '나면', '온몸', '##이', '상쾌', '##해지는', '기분이', '##야', '.']","['운동', '나면', '온몸', '상쾌', '기분이']"
1546,E68,뱃살 때문에 운동을 시작한건데 배가 쏙 들어가서 기뻐.,1,"['뱃살', '때문에', '운동을', '시작한', '##건데', '배가', '쏙', '들어가서', '기뻐', '.']","['뱃살', '때문에', '운동을', '시작한', '배가', '쏙', '들어가서', '기뻐']"
1639,E69,나는 영어 실력이 좋아서 다른 사람이 물어볼 정도야.,1,"['나는', '영어', '실력이', '좋아서', '다른', '사람이', '물어', '##볼', '정도', '##야', '.']","['나는', '영어', '실력이', '좋아서', '다른', '사람이', '물어', '정도']"
1640,E69,난 절대음감이 있어서 피아니스트가 되고 싶어.,1,"['난', '절대', '##음', '##감이', '있어서', '피', '##아니', '##스트가', '되고', '싶어', '.']","['난', '절대', '있어서', '피', '되고', '싶어']"
1658,E65,언니가 나한테 용돈으로 백만원을 줬어!,1,"['언니가', '나한테', '용돈', '##으로', '백만', '##원을', '줬', '##어', '!']","['언니가', '나한테', '용돈', '백만', '줬']"
1688,E63,이제 이 학교에 학교폭력 가해자들이 없어서 너무 좋아.,1,"['이제', '이', '학교에', '학교', '##폭력', '가해', '##자들이', '없어서', '너무', '좋아', '.']","['이제', '이', '학교에', '학교', '가해', '없어서', '너무', '좋아']"
1689,E63,지금 괴롭힘당하고 있다고 선생님께 털어놓으니 마음이 한결 가벼워졌어.,1,"['지금', '괴롭', '##힘', '##당하고', '있다고', '선생님', '##께', '털어', '##놓으니', '마음이', '한결', '가벼워', '##졌', '##어', '.']","['지금', '괴롭', '있다고', '선생님', '털어', '마음이', '한결', '가벼워']"
1690,E63,앞으로 괴롭힘을 당할 때마다 우리반 친구들이 도와주기로 약속했어!,1,"['앞으로', '괴롭', '##힘을', '당할', '때마다', '우리', '##반', '친구들이', '도와주', '##기로', '약속', '##했어', '!']","['앞으로', '괴롭', '당할', '때마다', '우리', '친구들이', '도와주', '약속']"
1691,E63,가해자들이 괴롭히려고 할 때 선생님이 도와주셔서 이젠 전혀 무섭지 않아!,1,"['가해', '##자들이', '괴롭', '##히려', '##고', '할', '때', '선생님이', '도와주', '##셔서', '이젠', '전혀', '무섭', '##지', '않아', '!']","['가해', '괴롭', '할', '때', '선생님이', '도와주', '이젠', '전혀', '무섭', '않아']"
1707,E67,이등한테 잡힐까 봐 조마조마했는데 다행히 시험을 잘 봐서 내가 일등을 했어.,1,"['이', '##등한', '##테', '잡', '##힐', '##까', '봐', '조', '##마', '##조', '##마', '##했는데', '다행히', '시험을', '잘', '봐서', '내가', '일', '##등을', '했어', '.']","['이', '잡', '봐', '조', '다행히', '시험을', '잘', '봐서', '내가', '일', '했어']"
1708,E67,선생님의 위로를 듣고 나니 조급한 마음이 안정되고 기분이 좋아졌어.,1,"['선생님의', '위로', '##를', '듣고', '나니', '조', '##급한', '마음이', '안정', '##되고', '기분이', '좋아졌', '##어', '.']","['선생님의', '위로', '듣고', '나니', '조', '마음이', '안정', '기분이', '좋아졌']"
